frame_index,material_id,formula,n_atoms,ref_bec_asr_max_abs,pred_bec_asr_max_abs
1259,mp-11836,Er4Pd4Sb4,12,0.004959999999999187,1.009999998524691e-06
85,mp-267,Ru2Te4,6,0.004870000000000374,2.609999999236834e-06
680,mp-568177,HAlCaSi,4,0.0048400000000001775,4.799999999693938e-07
1260,mp-11869,HfPdSn,3,0.004829999999999668,4.699999998081239e-07
327,mp-11917,Be2MgN2,5,0.004809999999999981,7.100000001258877e-07
75,mp-7581,MoSe2,3,0.004789999999999961,6.999999996315509e-08
372,mp-16763,KTe2Y,4,0.0047600000000000975,7.100000001258877e-07
1297,mp-924129,NiSnZr,3,0.0047400000000000775,2.9999999973107094e-07
21,mp-7808,Ba2P6,8,0.004720000000000724,4.1000000017277216e-07
950,mp-3551,Ag2Tb2Te4,8,0.0047199999999998354,7.100000005699769e-07
401,mp-23038,Br6Cs2V2,10,0.0047000000000002595,3.500000000933312e-07
878,mp-8881,Al2As2,4,0.004680000000000462,7.300000000043383e-07
837,mp-28266,P4Pd2,6,0.004670000000000063,5.199999999483396e-07
384,mp-4360,Cd6F18Na6,30,0.0046499999999976005,8.899999990319429e-07
351,mp-9273,Au3K3Sb2,8,0.0046399999999998665,2.9999999995311555e-07
1053,mp-568116,C9Lu6N18,33,0.004620000000004731,5.730000009585012e-06
1111,mp-19340,LiO2V,4,0.0046199999999998465,6.000000003503203e-07
198,mp-32616,Ga4S6,10,0.004610000000000114,8.200000014557673e-07
80,mp-632403,Cd2Cl4,6,0.0046000000000000485,1.8000000023832285e-07
338,mp-3332,CrNaSe2,4,0.0045799999999998064,2.399999998736746e-07
814,mp-23263,Br6La2,8,0.004550000000000942,4.699999995860793e-07
948,mp-12902,Ag2Er2Te4,8,0.004540000000002209,1.3699999996674705e-06
87,mp-571642,Ca4Cl8,12,0.004469999999999752,1.3100000001431411e-06
949,mp-12904,Ag2Ho2Te4,8,0.004399999999999071,7.100000010140661e-07
853,mp-9813,S2W,3,0.004370000000000013,2.6000000002968093e-07
962,mp-23202,I2In2,4,0.004359999999999253,3.599999995884673e-07
860,mp-20027,Fe2P4,6,0.004320000000002544,3.090000001204629e-06
445,mp-557938,F6HfV,8,0.004290000000000571,1.0900000000368948e-06
237,mp-4961,HgNa2O2,5,0.004280000000000506,4.799999997473492e-07
387,mp-754323,Bi6O18Tm6,30,0.0042599999999852756,1.4199999980313294e-06
1283,mp-3432,NiSbSc,3,0.0042400000000001326,3.600000001435788e-07
859,mp-14289,Ba6P8,14,0.004220000000001001,4.0000000012252457e-07
749,mp-22909,Cl4Zn2,6,0.004199999999999426,3.1999999983156613e-07
1294,mp-5967,CoSbTi,3,0.004189999999999916,4.800000001914384e-07
1028,mp-7984,F6KOs,8,0.004130000000000078,3.600000009207349e-07
772,mp-7188,Al2Os,3,0.004129999999999967,4.800000006355276e-07
414,mp-540609,Cs2I6Mn2,10,0.004089999999997929,4.899999996865745e-07
341,mp-5175,InNaO2,4,0.00401,7.100000001258877e-07
362,mp-7903,Cs2F6Zr,9,0.0040000000000000036,9.399999998382924e-07
1194,mp-865280,AlFe2Nb,4,0.0039999999999995595,2.1499999993679353e-06
6,mp-23153,I4,4,0.00398,9.000000000000001e-08
935,mp-23173,Hg2I4,6,0.003969999999999363,1.9000000051061505e-07
213,mp-752463,N4Nb4O4,12,0.0039200000000017,3.820000004317592e-06
293,mp-29396,Cu4O4Pb2,10,0.0038799999999992174,5.800000011380035e-07
396,mp-20042,In2S4Tl2,8,0.0038400000000002876,7.199999982887562e-07
982,mp-35152,H10Rh2Sr4,16,0.003819999999997936,1.2299999991860489e-06
598,mp-8257,Na4S4Zn2,10,0.003809999999999203,4.799999988591708e-07
1097,mp-8278,BaMg2P2,5,0.0037800000000003386,4.799999997473492e-07
373,mp-20072,CuLaO2,4,0.0037799999999998946,8.399999997799057e-07
27,mp-27725,Au4I4,8,0.0037600000000005407,1.900000000244174e-07
120,mp-570744,As4Si3,7,0.003709999999999214,5.999999997952088e-07
971,mp-570886,Be2I4,6,0.0036799999999997945,1.1999999990908172e-07
154,mp-550714,O4Pb4,8,0.0036400000000003097,8.299999991745466e-07
864,mp-760,Fe2Se4,6,0.0036299999999998,1.2000000007006406e-06
92,mp-22855,Cl8Hg4,12,0.003629999999999356,2.3000000026751621e-07
1289,mp-505297,NbRuSb,3,0.0036100000000000004,1.90999999993835e-06
619,mp-22304,CdIn2Se4,7,0.003509999999999236,4.900000005747529e-07
1063,mp-19357,Cr2La2O6,10,0.003460000000002239,2.6200000000642376e-06
1302,mp-961687,PdSnZr,3,0.0034200000000002007,2.399999998736746e-07
811,mp-2437,F6Ir2,8,0.0033800000000004105,9.500000002216069e-07
307,mp-675022,Cl3CsPb,5,0.0033500000000006303,1.7000000029909756e-07
809,mp-569843,Br2Mn,3,0.0033199999999999896,1.8000000001627825e-07
765,mp-22904,Ca2Cl4,6,0.0032599999999995966,6.000000003503203e-07
1105,mp-13313,ScSe2Tl,4,0.0032400000000003537,1.200000006029711e-07
823,mp-567503,I4Pb2,6,0.0032199999999995566,2.399999994295854e-07
1026,mp-557158,CrF6Mo,8,0.003210000000000268,7.199999998430684e-07
78,mp-14288,P8Sr6,14,0.003200000000000036,9.500000017759191e-07
374,mp-23056,BrNSr2,4,0.003170000000000339,4.700000006963023e-07
1263,mp-13305,Au4Sm4Sn4,12,0.003160000000001162,1.0000000008059118e-06
49,mp-557539,F6Mo2,8,0.00316000000000094,8.400000006680841e-07
1075,mp-30041,BiRbS2,4,0.003149999999999764,3.500000000933312e-07
79,mp-15339,As8Sr6,14,0.0031100000000000294,6.200000015610385e-07
