time_ps,P_autocorr_avg,alpha_autocorr_avg
6.972000000000000419e+00,-3.580523373396513054e-02,-8.991709102874787321e-03
6.974000000000000199e+00,-3.207107627895690316e-02,-1.740794332431484619e-03
6.975999999999999979e+00,-2.745942821592400537e-02,6.268455279230869363e-03
6.977999999999999758e+00,-2.247103242556632366e-02,1.413633904126062116e-02
6.980000000000000426e+00,-1.758615828682369084e-02,2.088336441148971531e-02
6.982000000000000206e+00,-1.320420237207423422e-02,2.574375340692831166e-02
6.983999999999999986e+00,-9.595925609558476552e-03,2.838351919459959974e-02
6.985999999999999766e+00,-6.874545934341494934e-03,2.894528791331325845e-02
6.988000000000000433e+00,-4.989545815843748205e-03,2.791153118843467396e-02
6.990000000000000213e+00,-3.743932351190784082e-03,2.586728330943082951e-02
6.991999999999999993e+00,-2.832492083538303267e-03,2.328446322187432277e-02
6.993999999999999773e+00,-1.895720250277891121e-03,2.042523445417912531e-02
6.996000000000000441e+00,-5.815972003646617062e-04,1.738904841373505386e-02
6.998000000000000220e+00,1.393681306081021335e-03,1.424892615480558879e-02
7.000000000000000000e+00,4.195030892303686434e-03,1.117853137761816093e-02
7.001999999999999780e+00,7.835446661126033510e-03,8.484128198704003407e-03
7.003999999999999559e+00,1.216581730186929583e-02,6.515410771807951876e-03
7.006000000000000227e+00,1.688931014277394657e-02,5.502968450215626507e-03
7.008000000000000007e+00,2.159845055953861503e-02,5.417351617106720696e-03
7.009999999999999787e+00,2.582961317467466836e-02,5.938737702401775120e-03
7.011999999999999567e+00,2.912685207899798345e-02,6.569181584952511234e-03
7.014000000000000234e+00,3.110580188371494040e-02,6.841661471079062661e-03
7.016000000000000014e+00,3.150826401823893924e-02,6.525519911153214968e-03
7.017999999999999794e+00,3.023964188280279727e-02,5.727957387098753760e-03
7.019999999999999574e+00,2.738392036303089264e-02,4.845429429866472334e-03
7.022000000000000242e+00,2.319425865166385714e-02,4.395981454742512937e-03
7.024000000000000021e+00,1.806078875741518389e-02,4.819825149156755327e-03
7.025999999999999801e+00,1.246033576630973042e-02,6.341060305129210886e-03
7.027999999999999581e+00,6.895225464870305930e-03,8.939884278900377124e-03
7.030000000000000249e+00,1.829576781007573143e-03,1.242039413077891501e-02
7.032000000000000028e+00,-2.368255601256094491e-03,1.651190648212403841e-02
7.033999999999999808e+00,-5.469300638485778861e-03,2.093648356273497199e-02
7.035999999999999588e+00,-7.407818620815984599e-03,2.540968773250558421e-02
7.038000000000000256e+00,-8.282150173804918650e-03,2.959211679313357782e-02
7.040000000000000036e+00,-8.332551168261835561e-03,3.304483300354918440e-02
7.041999999999999815e+00,-7.899158452484851545e-03,3.524295477814311933e-02
7.043999999999999595e+00,-7.366138210221963474e-03,3.566899191070358605e-02
7.046000000000000263e+00,-7.100094387492397047e-03,3.396040151261795620e-02
7.048000000000000043e+00,-7.391800025259111229e-03,3.005024865979485926e-02
7.049999999999999822e+00,-8.409788799984023108e-03,2.423465381636582747e-02
7.051999999999999602e+00,-1.017259515268925316e-02,1.712870966771268960e-02
7.054000000000000270e+00,-1.254370828039877254e-02,9.521218383959527062e-03
7.056000000000000050e+00,-1.524986300789049620e-02,2.184259895230029891e-03
7.057999999999999829e+00,-1.791987267910167062e-02,-4.287024251768976717e-03
7.059999999999999609e+00,-2.013829989173259241e-02,-9.546226586909442591e-03
7.062000000000000277e+00,-2.150624621041173981e-02,-1.346635817694282963e-02
7.064000000000000057e+00,-2.170057545668579654e-02,-1.604662059171005697e-02
7.065999999999999837e+00,-2.052336028782545882e-02,-1.731932583602570005e-02
7.067999999999999616e+00,-1.793458030761629213e-02,-1.731177337107930522e-02
7.070000000000000284e+00,-1.406352468786897097e-02,-1.607939014710402931e-02
7.072000000000000064e+00,-9.197161715772551177e-03,-1.378181359511153510e-02
7.073999999999999844e+00,-3.746879171772638482e-03,-1.074655574581638399e-02
7.075999999999999623e+00,1.801984570865337604e-03,-7.468083634603696341e-03
7.078000000000000291e+00,6.951053884761592555e-03,-4.520738989463285451e-03
7.080000000000000071e+00,1.125193443501690434e-02,-2.406876278491881099e-03
7.081999999999999851e+00,1.436269397788723055e-02,-1.398281197711388627e-03
7.083999999999999631e+00,1.608988441165605174e-02,-1.441803345209640135e-03
7.086000000000000298e+00,1.641029950874857771e-02,-2.179833233516561067e-03
7.088000000000000078e+00,1.546945606970518382e-02,-3.087834792389999340e-03
7.089999999999999858e+00,1.355720576190762652e-02,-3.675401872270892250e-03
7.091999999999999638e+00,1.106409983627364493e-02,-3.663745361551118841e-03
7.094000000000000306e+00,8.424785528141401011e-03,-3.062768434468085641e-03
7.096000000000000085e+00,6.056445505848532911e-03,-2.122181586092978731e-03
7.097999999999999865e+00,4.300898148794643321e-03,-1.195316863090524050e-03
7.099999999999999645e+00,3.378312288051063539e-03,-5.936407907104703950e-04
7.102000000000000313e+00,3.358883056555521125e-03,-5.026403040010649342e-04
7.104000000000000092e+00,4.156178782766450572e-03,-9.839959061265664535e-04
7.105999999999999872e+00,5.542942804748218072e-03,-2.035147364063303113e-03
7.107999999999999652e+00,7.187111846738987453e-03,-3.647929564922718689e-03
7.110000000000000320e+00,8.702852899569946815e-03,-5.817996586978182831e-03
7.112000000000000099e+00,9.709498451241025882e-03,-8.495681106709417063e-03
7.113999999999999879e+00,9.889965243044984006e-03,-1.151168617854376151e-02
7.115999999999999659e+00,9.040316568589888344e-03,-1.453175314473931570e-02
7.118000000000000327e+00,7.103192433072755968e-03,-1.708232947347095368e-02
7.120000000000000107e+00,4.180204226488350508e-03,-1.865163293866165667e-02
7.121999999999999886e+00,5.212262491835294555e-04,-1.882928581355724704e-02
7.123999999999999666e+00,-3.507954736257003908e-03,-1.742460980160269804e-02
7.126000000000000334e+00,-7.475190845056932029e-03,-1.451148179278628249e-02
7.128000000000000114e+00,-1.094168641534313570e-02,-1.038252221209809596e-02
7.129999999999999893e+00,-1.352322683123026621e-02,-5.439912141698385536e-03
7.131999999999999673e+00,-1.494410674173291681e-02,-8.159437540597631617e-05
7.134000000000000341e+00,-1.507579463396784870e-02,5.358536951204887974e-03
7.136000000000000121e+00,-1.395474595421387909e-02,1.059223263501562692e-02
7.137999999999999901e+00,-1.177670548788175599e-02,1.530848755275757839e-02
7.139999999999999680e+00,-8.868454369011322808e-03,1.912183220002672268e-02
7.142000000000000348e+00,-5.641142151683343868e-03,2.160036020544860852e-02
7.144000000000000128e+00,-2.532023640315492034e-03,2.238698358166938199e-02
